,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,ampanihy,-24.7,44.75,67.86,86,2,4.83,MG,1617053202
365,kayes,14.0,-11.0,97.43,23,89,4.72,ML,1617053500
366,matara,5.9485,80.5353,72.91,91,100,9.33,LK,1617053500
367,dauphin,51.1494,-100.0502,42.24,94,100,7.65,CA,1617053500
368,matadi,-5.8167,13.45,76.42,96,88,2.53,CD,1617053501
369,waterloo,43.4668,-80.5164,42.8,52,1,10.36,CA,1617053360
370,filadelfia,39.9523,-75.1638,55.99,30,1,13.8,US,1617053419
371,baruun-urt,46.6806,113.2792,37.53,26,100,11.54,MN,1617053501
372,mendoza,-32.8908,-68.8272,80.6,19,0,6.91,AR,1617053252
373,bengkulu,-3.8004,102.2655,75.34,89,79,2.89,ID,1617053502
374,pachino,36.7186,15.0907,46.4,93,17,4.61,IT,1617053502
375,celestun,20.8667,-90.4,82.58,68,25,15.48,MX,1617053502
376,dicabisagan,17.0818,122.4157,75.45,88,47,4.79,PH,1617053272
377,oranjemund,-28.55,16.4333,60.21,88,0,3.38,NA,1617053503
378,olinda,-8.0089,-34.8553,80.6,74,40,5.75,BR,1617053261
379,havre,49.5833,0.3333,55.4,71,0,4.61,FR,1617053503
380,visnes,59.3556,5.2242,45.0,100,90,8.05,NO,1617053504
381,maceio,-9.6658,-35.7353,78.8,89,75,6.91,BR,1617053504
382,owando,-0.4819,15.8999,71.76,96,44,2.82,CG,1617053504
383,olga,43.7444,135.2892,36.16,80,13,3.91,RU,1617053505
384,makat,47.6469,53.3463,37.06,64,84,5.66,KZ,1617053505
385,aleksandrovskiy zavod,50.9237,117.9374,20.98,74,81,2.21,RU,1617053505
386,nizhnevartovsk,60.9344,76.5531,1.4,85,0,4.47,RU,1617053505
387,obidos,-1.9175,-55.5181,77.23,88,43,3.83,BR,1617053506
388,yamada,39.4667,141.95,49.3,70,96,4.18,JP,1617053506
389,propria,-10.2111,-36.8403,77.47,84,76,8.3,BR,1617053506
390,ambilobe,-13.2,49.05,74.46,95,95,2.13,MG,1617053507
391,lantana,26.5867,-80.052,82.99,69,75,11.5,US,1617053507
392,poum,-20.2333,164.0167,79.43,77,100,7.54,NC,1617053507
393,malanje,-9.5402,16.341,65.23,90,89,3.62,AO,1617053508
394,cap malheureux,-19.9842,57.6142,75.99,82,16,6.02,MU,1617053508
395,miri,4.4148,114.0089,75.2,94,40,3.44,MY,1617053508
396,provideniya,64.3833,-173.3,23.0,74,75,4.47,RU,1617053509
397,parczew,51.6402,22.9006,48.2,81,90,5.75,PL,1617053509
398,lithgow,-33.4833,150.15,63.0,81,49,2.17,AU,1617053509
399,san felipe,10.3399,-68.7425,74.89,92,96,6.38,VE,1617053509
400,port blair,11.6667,92.75,80.44,78,95,2.19,IN,1617053122
401,smithers,54.7804,-127.1743,35.6,48,90,7.52,CA,1617053510
402,quatre cocos,-20.2078,57.7625,75.99,88,20,6.91,MU,1617053135
403,jacareacanga,-6.2222,-57.7528,79.52,93,62,1.74,BR,1617052935
404,krasnoselkup,65.7,82.4667,-10.32,91,93,8.19,RU,1617053024
405,inuvik,68.3499,-133.7218,3.2,51,81,10.36,CA,1617053510
406,nahrin,36.0649,69.1334,41.29,94,100,4.52,AF,1617053511
407,pangnirtung,66.1451,-65.7125,10.4,72,90,9.22,CA,1617053003
408,svetlaya,46.5389,138.3297,35.49,98,100,6.73,RU,1617053511
409,norman wells,65.282,-126.8329,5.0,51,75,16.11,CA,1617052911
410,calabozo,8.9242,-67.4293,90.03,41,98,9.28,VE,1617053512
411,kiama,-34.6833,150.8667,60.01,79,66,1.99,AU,1617053512
412,bar harbor,44.3876,-68.2039,42.01,42,20,12.66,US,1617053448
413,lehigh acres,26.6254,-81.6248,91.0,40,75,4.61,US,1617053485
414,yumen,40.2833,97.2,46.38,45,100,15.68,CN,1617053000
415,pevek,69.7008,170.3133,-9.29,97,100,4.43,RU,1617053513
416,chateaubelair,13.2833,-61.25,78.8,89,40,17.27,VC,1617053513
417,cacapava do sul,-30.5122,-53.4914,62.82,69,83,3.76,BR,1617053513
418,puerto maldonado,-12.6,-69.1833,84.2,74,20,5.75,PE,1617053513
419,beloha,-25.1667,45.05,68.92,83,0,4.94,MG,1617053012
420,jawhar,2.7809,45.5005,78.4,82,4,9.01,SO,1617053514
421,kansanshi,-12.0951,26.4273,59.07,98,23,4.92,ZM,1617053514
422,beringovskiy,63.05,179.3167,13.03,87,100,19.53,RU,1617053515
423,haines junction,60.7522,-137.5108,32.0,34,91,3.44,CA,1617053096
424,roma,43.2128,-75.4557,41.0,45,20,20.71,US,1617053071
425,paso de carrasco,-34.8603,-56.0522,69.8,83,75,13.8,UY,1617053476
426,parainen,60.3067,22.301,43.0,100,90,11.5,FI,1617053515
427,rostovka,55.3842,71.8891,16.14,94,100,9.8,RU,1617053516
428,umm lajj,25.0213,37.2685,72.64,61,62,13.47,SA,1617053117
429,mbandaka,0.0487,18.2603,71.56,96,96,1.34,CD,1617053516
430,boyabat,41.4689,34.7667,39.22,85,100,4.0,TR,1617053516
431,bambamarca,-6.6833,-78.5333,53.78,94,100,4.7,PE,1617053517
432,nouadhibou,20.931,-17.0347,64.4,88,25,17.27,MR,1617053517
433,anloga,5.7947,0.8973,84.2,79,20,8.05,GH,1617053229
434,saint-pierre,-21.3393,55.4781,77.0,78,0,6.91,RE,1617052931
435,meadow lake,34.8014,-106.5436,75.99,13,75,11.5,US,1617053130
436,omsukchan,62.5333,155.8,-5.82,90,41,2.53,RU,1617053081
437,anuchino,43.9622,133.0544,37.0,82,92,4.61,RU,1617053518
438,broome,42.2506,-75.833,46.99,42,1,14.97,US,1617052925
439,acajutla,13.5928,-89.8275,91.4,31,40,7.92,SV,1617053240
440,aktash,50.3,87.7333,-2.45,91,30,4.07,RU,1617053518
441,ilulissat,69.2167,-51.1,15.8,48,75,10.36,GL,1617053518
442,uchkent,43.1143,47.0826,41.0,87,18,6.71,RU,1617053519
443,sao joao da barra,-21.6403,-41.0511,84.2,65,40,11.5,BR,1617053008
444,kamenka,51.3223,42.7678,33.01,94,76,6.69,RU,1617052936
445,mubende,0.5606,31.39,61.27,99,82,2.73,UG,1617053519
446,zyryanka,65.75,150.85,0.57,91,36,8.16,RU,1617053519
447,olafsvik,64.8945,-23.7142,29.28,66,100,13.96,IS,1617052930
448,lahij,13.1667,44.5833,78.62,30,7,6.29,YE,1617053520
449,xichang,27.8964,102.2634,49.93,32,0,1.05,CN,1617053520
450,zhigalovo,54.8097,105.1578,29.95,97,100,2.98,RU,1617053521
451,samarai,-10.6167,150.6667,82.92,76,100,10.89,PG,1617052999
452,sayyan,15.1718,44.3244,56.44,26,0,4.7,YE,1617053521
453,rapid valley,44.0625,-103.1463,44.6,36,1,36.82,US,1617053519
454,praxedis guerrero,31.3667,-106.0167,78.01,12,40,11.5,MX,1617053521
455,tokur,53.1333,132.9,18.21,91,100,4.92,RU,1617053522
456,bilibino,68.0546,166.4372,-9.67,98,99,1.79,RU,1617053045
457,lavrentiya,65.5833,-171.0,13.95,88,99,12.08,RU,1617053522
458,nicoya,10.1483,-85.452,93.2,33,0,25.32,CR,1617053522
459,dunedin,-45.8742,170.5036,57.99,85,100,7.0,NZ,1617053523
460,labuhan,-6.8844,112.2051,77.79,89,48,6.42,ID,1617053289
461,sokoto,13.0609,5.239,80.31,13,1,10.47,NG,1617053523
462,sola,-13.8833,167.55,84.2,84,75,5.75,VU,1617053524
463,nuuk,64.1835,-51.7216,30.2,51,75,17.27,GL,1617053524
464,kismayo,-0.3582,42.5454,80.17,73,45,13.73,SO,1617053524
465,srednekolymsk,67.45,153.6833,-6.68,97,81,3.38,RU,1617053251
466,sungaipenuh,-2.0833,101.3833,64.06,95,98,1.05,ID,1617053228
467,mount isa,-20.7333,139.5,77.0,33,0,10.36,AU,1617053108
468,bayanday,53.0661,105.5139,24.01,98,90,3.98,RU,1617053525
469,comodoro rivadavia,-45.8667,-67.5,69.8,56,0,12.66,AR,1617052959
470,medak,18.0333,78.2667,79.0,47,8,6.64,IN,1617053525
471,waipawa,-41.4122,175.5153,64.99,94,90,12.66,NZ,1617053526
472,chekhov,55.1431,37.4711,26.01,82,37,4.32,RU,1617053526
473,husavik,66.0449,-17.3389,26.6,80,90,6.91,IS,1617053526
474,katsuura,35.1333,140.3,59.0,94,70,8.46,JP,1617053527
475,kudahuvadhoo,2.6708,72.8944,83.53,71,100,22.97,MV,1617052874
476,deputatskiy,69.3,139.9,-7.91,99,83,3.62,RU,1617053260
477,cayenne,4.9333,-52.3333,82.4,74,75,13.8,GF,1617053028
478,port augusta,-32.5,137.7667,54.0,93,0,5.75,AU,1617053114
479,mufumbwe,-13.6833,24.8,60.53,97,6,5.17,ZM,1617053527
480,lata,40.1629,-8.3327,60.01,83,16,3.42,PT,1617053058
481,muli,2.9167,73.5667,81.68,76,100,19.66,MV,1617053528
482,aktau,43.65,51.2,39.2,100,62,2.24,KZ,1617053528
483,brownsville,25.9018,-97.4975,68.0,68,90,8.05,US,1617053143
484,kigoma,-4.8769,29.6267,69.8,100,75,3.2,TZ,1617053267
485,henties bay,-22.116,14.2845,62.01,90,0,4.0,NA,1617053274
486,balfron,56.0681,-4.3356,51.01,93,75,17.27,GB,1617053529
487,makakilo city,21.3469,-158.0858,82.4,57,90,12.66,US,1617053208
488,iskateley,67.6803,53.1512,33.46,98,100,13.0,RU,1617053252
489,adrian,41.8975,-84.0372,51.01,43,1,13.8,US,1617053529
490,cherskiy,68.75,161.3,-2.67,95,100,8.3,RU,1617053529
491,berlevag,70.8578,29.0864,32.0,80,0,13.8,NO,1617053127
492,pangai,-19.8,-174.35,84.2,79,20,16.11,TO,1617053530
493,harrisburg,40.2737,-76.8844,55.4,26,1,9.22,US,1617053428
494,atyra,-25.25,-57.1667,73.4,68,90,6.91,PY,1617053530
495,yining,29.0361,114.5636,67.03,98,99,1.83,CN,1617053531
496,bandar-e anzali,37.4727,49.4622,48.18,76,11,3.24,IR,1617053531
497,road town,18.4167,-64.6167,80.6,74,40,18.41,VG,1617053126
498,goulburn,-34.75,149.7167,53.01,97,91,4.23,AU,1617053407
499,kununurra,-15.7667,128.7333,73.4,78,92,3.44,AU,1617053079
500,oranjestad,12.524,-70.027,82.4,74,20,21.85,AW,1617053307
501,kabelvag,68.2114,14.4817,37.99,89,100,17.0,NO,1617053532
502,inirida,3.8653,-67.9239,79.38,90,94,0.89,CO,1617053532
503,cuenca,-2.8833,-78.9833,66.2,55,75,11.5,EC,1617053532
504,kargil,34.5667,76.1,25.56,70,21,7.7,IN,1617053533
505,balikpapan,-1.2675,116.8289,74.88,93,100,4.79,ID,1617053533
506,cockburn town,21.4612,-71.1419,82.4,69,40,16.11,TC,1617052964
507,bandarbeyla,9.4942,50.8122,77.85,68,100,6.62,SO,1617053533
508,yuzhnyy,53.2542,83.6936,24.8,86,75,26.84,RU,1617053533
509,bowmore,34.9421,-79.3031,66.2,26,1,4.61,US,1617053534
510,isangel,-19.55,169.2667,80.6,83,20,9.31,VU,1617053005
511,peleduy,59.6289,112.7406,11.88,96,100,1.72,RU,1617053534
512,ndele,8.4109,20.6473,77.63,17,3,5.3,CF,1617053535
513,evensk,61.95,159.2333,-2.43,80,5,4.99,RU,1617052948
514,lumphat,13.4878,106.9816,78.37,64,19,3.53,KH,1617053535
515,port hedland,-20.3167,118.5667,80.6,50,40,6.91,AU,1617053535
516,tiquisate,14.2833,-91.3667,89.6,58,75,13.8,GT,1617053536
517,vila velha,-20.3297,-40.2925,80.6,65,0,10.36,BR,1617053141
518,messina,38.1933,15.5497,57.99,77,0,4.61,IT,1617053536
519,katangli,51.7102,143.2326,31.46,99,100,1.3,RU,1617053536
520,farrukhnagar,17.0778,78.2011,79.0,78,40,4.61,IN,1617053537
521,chake chake,-5.2459,39.7666,80.83,78,62,6.44,TZ,1617053537
522,oyem,1.5995,11.5793,66.79,97,64,1.77,GA,1617053537
523,kharp,66.8014,65.8081,28.67,98,99,4.52,RU,1617053538
524,shingu,33.7333,135.9833,55.15,76,28,4.25,JP,1617053195
525,kieta,-6.2167,155.6333,83.26,71,100,3.42,PG,1617053538
526,kragero,58.8693,9.4149,45.0,92,21,17.31,NO,1617053538
527,bo phloi,14.3236,99.5161,80.51,60,23,4.52,TH,1617053539
528,griffith,41.5284,-87.4237,61.0,44,1,23.02,US,1617053203
529,virginia beach,36.8529,-75.978,64.4,27,1,10.36,US,1617053539
530,sobolevo,54.4299,31.8996,35.42,99,100,8.01,RU,1617053540
531,vuktyl,63.8567,57.3094,32.56,98,100,7.18,RU,1617053540
532,mazatlan,23.2167,-106.4167,75.99,64,90,9.22,MX,1617053540
533,waingapu,-9.6567,120.2641,77.31,91,100,8.52,ID,1617053006
534,mezen,65.8522,44.24,34.88,84,100,11.27,RU,1617053541
535,alenquer,-1.9417,-54.7383,84.2,79,20,6.91,BR,1617053541
536,pierre,44.3683,-100.351,59.0,33,1,34.52,US,1617053541
537,kwinana,-32.25,115.7667,73.4,88,75,2.3,AU,1617053485
538,morondava,-20.2833,44.2833,75.69,76,4,12.8,MG,1617053542
539,xihe,31.6864,113.4659,56.32,80,100,7.58,CN,1617053542
540,vardo,70.3705,31.1107,37.4,75,0,14.97,NO,1617052974
541,castrillon,43.3979,-6.7922,60.8,63,0,2.3,ES,1617053542
542,san cristobal,7.7669,-72.225,82.4,65,75,3.44,VE,1617053110
543,merauke,-8.4667,140.3333,78.21,88,100,8.41,ID,1617053212
544,pringsewu,-5.3582,104.9744,72.88,97,88,2.93,ID,1617053543
545,basar,27.9833,94.6667,55.81,33,5,3.04,IN,1617053543
546,luwuk,-0.9516,122.7875,77.45,84,100,1.86,ID,1617053544
547,inhambane,-23.865,35.3833,69.19,69,0,5.46,MZ,1617053544
548,yar-sale,66.8333,70.8333,10.54,95,100,8.57,RU,1617053367
549,ponta delgada,37.7333,-25.6667,60.8,88,40,12.66,PT,1617053246
550,oussouye,12.485,-16.5469,75.2,83,0,2.3,SN,1617053544
551,rey bouba,8.6724,14.1786,84.36,16,0,1.59,CM,1617053545
552,ishikawa,26.4233,127.8214,73.4,94,90,6.91,JP,1617053545
553,antalaha,-14.9003,50.2788,76.01,91,92,3.58,MG,1617053545
554,dandong,40.1292,124.3947,40.14,42,0,2.51,CN,1617053546
555,sioux lookout,50.1001,-91.917,50.0,46,75,9.22,CA,1617053261
556,boldog,47.6029,19.6884,57.99,58,100,3.44,HU,1617053546
557,ukiah,39.1502,-123.2078,70.0,37,1,4.0,US,1617053425
558,santa marinella,42.0345,11.8536,57.0,100,8,2.3,IT,1617053546
559,san borja,-14.8167,-66.85,76.73,84,29,1.61,BO,1617053547
560,necochea,-38.5473,-58.7368,64.99,81,28,1.01,AR,1617053362
561,mnogovershinnyy,53.9353,139.9242,24.73,95,100,5.64,RU,1617053547
562,solenzo,12.1833,-4.0833,86.9,9,1,6.33,BF,1617053547
563,maumere,-8.6199,122.2111,78.39,88,100,4.92,ID,1617053548
564,dondo,-19.6094,34.7431,80.6,57,40,12.66,MZ,1617053548
565,walvis bay,-22.9575,14.5053,62.01,88,0,5.75,NA,1617053130
566,bull savanna,17.8868,-77.5902,78.71,71,39,12.26,JM,1617053548
567,severobaykalsk,55.65,109.3167,20.57,94,95,1.86,RU,1617053549
568,si satchanalai,17.5169,99.7598,89.01,79,76,2.68,TH,1617053549
569,kidal,18.4411,1.4078,76.23,9,0,10.71,ML,1617053550
